OS,ROTA,Latitude,Longitude,data
NR 5376,BKB-PRP<>PII,-4.30634333333333,-41.7353933333333,01/01/2022
NR 5456,BKB-CÇA<>ITR,-4.50558333333333,-39.6987483333333,02/01/2022
NR 5521,BKB-CTS<>NVO,-5.20459333333333,-40.690375,06/01/2022
NR 5464,BKB-IPS<>NVR,-4.543815,-40.7119333333333,04/01/2022
NR 5476,BKB-GBA<>CRT,-4.2031647,-40.7799295,05/01/2022
NR 5596,BKB-CÇA<>ITR,-4.5298,-39.644595,06/01/2022
NR 5614,BKB-CÇA<>ITR,-4.51032166666667,-39.6846733333333,07/01/2022
NR 5629,BKB-CÇA<>ITR,-4.33017333333333,-40.1775366666667,08/01/2022
NR 5671,BKB-IPS<>CRT,-4.57172333333333,-40.7524283333333,09/01/2022
NR 5785,BKB-MRC-MSP,-3.52433833333333,-40.4186483333333,01/02/2022
NR 5818,BKB-IPU-GBA,-4.1894929,-40.4842462,02/02/2022
NR 5843,BKB-MDL-ITR,-4.71393833333333,-39.6044583333333,03/02/2022
NR 5994,BKB-PLN<>TUA,-2.78198833333333,-42.3262716666667,01/03/2022
NR 6010,BKB-TUA<>PLN,-2.72192166666667,-42.5376966666667,02/03/2022
NR 6080,BKB-TGA<>UBJ.,-4.18690666666667,-40.50676,03/03/2022
NR 6198,BKB-IBN<>GBA,-4.00126,-40.8753083333333,04/03/2022
NR 6234,BKB-TGA<>GRJ,-3.50152166666667,-41.0724883333333,05/03/2022
NR 6263,BKB-ALT<>MRC,-3.58727833333333,-40.5081916666667,06/03/2022
NR 6316,BKB-CVL<>CMM,-3.04566,-41.22576,07/03/2022
NR 6401,BKB-PRP<>PII,-4.37112,-41.7055333333333,08/03/2022
NR 6921,BKB-GBA <> CPT,-4.15073333333333,-40.75452,02/05/2022
NR 6995,BKB-CZT<>MTB,-4.78748666666667,-40.067485,03/05/2022
NR 7477,BKB-TUA<>PLN,-2.7943,-42.3624816666667,01/06/2022
NR 7481,BKB-CMM<>GRJ,-2.90196177,-40.85014858,02/06/2022
NR 7527,BKB-BRS<>PLN,-2.75584833333333,-42.65471,03/06/2022
NR 7572,BKB-SCO<>CRT,-5.178125,-40.6748483333333,01/07/2022
NR 7605,BKB-TUA<>PLN,-2.79435166666667,-42.3627116666667,02/07/2022
NR 7616,BKB-IPS<>CRT ,-4.56064166666667,-40.813195,03/07/2022
NR 7668,BKB-ARD<>NVR ,-4.74736833333333,-40.832125,04/07/2022
NR 7760,BKB-CVL<>CMM,-2.91101666666667,-40.849955,05/07/2022
NR 7845,BKB- TBL<> BVG,-4.91781166666667,-40.0979966666667,06/07/2022
NR 7847,BKB- SBD<> BOA ESPERANÇA,-3.39493,-42.4631466666667,07/07/2022
NR 7864,BKB- GBA<>MCO,-4.21835833333333,-40.7898316666667,08/07/2022
NR 7899,BKB- GBA<>MCO,-4.21828833333333,-40.7897916666667,09/07/2022
NR 7940,BKB- CÇA <>CND,-4.31231833333333,-39.4539333333333,10/07/2022
NR 7944,BKB - ARD <> IPS,-4.69823,-40.809995,11/07/2022
NR 8029,BKB - ARD <> NVR,-4.75305,-40.8322166666667,01/08/2022
NR 8045,BKB - GRJ<> CMM,-3.11660333333333,-40.83602,02/08/2022
NR 8075,BKH ADS <> TMA,-3.23076833333333,-41.1751416666667,03/08/2022
NR 8115, BKB IBN<>UBJ,-3.85290166666667,-40.9171116666667,04/08/2022
NR 8125,BKH ADS <> TMA,-3.23532666666667,-41.14254,05/08/2022
NR 8151, BKB DE ARD <>PRG,-4.75301,-40.860015,06/08/2022
NR 8172, BKB PLN<>BRS,-2.75363833333333,-42.78884,07/08/2022
NR 8190,BKB - ARD <> NVR,-4.72421666666667,-40.6784316666667,08/08/2022
NR 8237,BKB - TBL<>SCO,-4.85641,-40.3892283333333,09/08/2022
NR 8249,BKB - IPS<>CRT,-4.56496166666667,-40.8159433333333,10/08/2022
NR 8271,BKB - GBA<>MCO,-4.21832666666667,-40.7898666666667,11/08/2022
NR 8282,BKB - TGA<>GRJ,-3.57028833333333,-41.0934783333333,12/08/2022
